Vardas              Pavarde             ND1                 ND2                 ND3                 ND4                 ND5                 ND6                 ND7                 ND8                 ND9                 ND10                ND11                ND12                ND13                ND14                ND15                ND16                Egz                 
Vardas234           Pavarde234          3                   8                   9                   3                   5                   7                   3                   5                   10                  6                   7                   10                  2                   9                   2                   2                   3                   
Vardas235           Pavarde235          2                   7                   1                   10                  8                   3                   7                   4                   5                   8                   5                   8                   1                   8                   9                   1                   10                  
Vardas236           Pavarde236          3                   7                   2                   7                   8                   7                   8                   7                   7                   3                   1                   8                   1                   7                   7                   6                   7                   
Vardas237           Pavarde237          10                  8                   3                   1                   7                   5                   1                   8                   5                   6                   4                   2                   4                   8                   8                   5                   7                   
Vardas238           Pavarde238          6                   2                   3                   7                   6                   8                   10                  6                   1                   3                   7                   4                   9                   10                  1                   7                   4                   
Vardas239           Pavarde239          6                   2                   6                   8                   9                   7                   10                  7                   8                   6                   5                   8                   10                  3                   5                   8                   6                   
Vardas240           Pavarde240          3                   5                   6                   8                   8                   9                   7                   1                   7                   4                   3                   2                   9                   4                   2                   3                   10                  
Vardas241           Pavarde241          9                   2                   7                   3                   8                   4                   9                   1                   2                   1                   10                  3                   5                   2                   6                   2                   10                  
Vardas242           Pavarde242          10                  4                   4                   8                   9                   9                   2                   1                   5                   8                   10                  10                  1                   10                  5                   8                   7                   
Vardas243           Pavarde243          2                   6                   3                   8                   3                   2                   10                  2                   1                   8                   2                   4                   9                   6                   1                   5                   10                  
Vardas244           Pavarde244          8                   3                   5                   7                   6                   7                   2                   7                   3                   7                   1                   8                   5                   6                   8                   6                   3                   
Vardas245           Pavarde245          7                   2                   9                   5                   2                   10                  4                   2                   2                   7                   3                   1                   10                  2                   10                  10                  6                   
Vardas246           Pavarde246          10                  3                   1                   7                   10                  5                   7                   10                  3                   4                   4                   1                   9                   1                   10                  6                   8                   
Vardas247           Pavarde247          10                  4                   4                   4                   3                   5                   4                   4                   6                   2                   1                   10                  4                   9                   8                   2                   1                   
Vardas248           Pavarde248          6                   5                   2                   10                  1                   8                   4                   5                   9                   2                   8                   3                   3                   3                   7                   3                   2                   
Vardas249           Pavarde249          5                   1                   7                   8                   8                   1                   9                   1                   2                   1                   4                   1                   9                   5                   3                   3                   4                   
Vardas250           Pavarde250          1                   2                   8                   4                   5                   3                   1                   8                   2                   9                   1                   2                   5                   8                   3                   2                   1                   
Vardas251           Pavarde251          4                   8                   5                   10                  2                   10                  1                   2                   7                   10                  10                  6                   6                   8                   9                   1                   8                   
Vardas252           Pavarde252          6                   3                   8                   4                   8                   3                   3                   5                   9                   7                   10                  8                   4                   5                   9                   10                  3                   
Vardas253           Pavarde253          3                   8                   10                  3                   7                   9                   5                   4                   5                   8                   10                  1                   8                   4                   1                   2                   6                   
Vardas254           Pavarde254          9                   6                   10                  10                  8                   4                   9                   3                   7                   10                  3                   3                   4                   2                   5                   2                   5                   
Vardas255           Pavarde255          2                   7                   2                   1                   3                   6                   5                   8                   2                   4                   3                   8                   6                   1                   9                   1                   5                   
Vardas256           Pavarde256          10                  6                   1                   5                   2                   9                   7                   8                   4                   2                   6                   4                   2                   9                   2                   5                   4                   
Vardas257           Pavarde257          9                   4                   6                   1                   5                   8                   2                   9                   7                   6                   4                   5                   2                   5                   3                   3                   3                   
Vardas258           Pavarde258          10                  10                  3                   8                   9                   2                   8                   6                   8                   6                   4                   10                  4                   4                   8                   8                   3                   
Vardas259           Pavarde259          4                   1                   10                  4                   6                   4                   7                   2                   9                   6                   10                  10                  3                   3                   9                   6                   7                   
Vardas260           Pavarde260          6                   3                   5                   7                   5                   6                   4                   1                   9                   9                   8                   7                   8                   8                   1                   10                  4                   
Vardas261           Pavarde261          10                  7                   6                   7                   5                   5                   1                   8                   2                   7                   1                   10                  10                  5                   9                   8                   1                   
Vardas262           Pavarde262          7                   5                   3                   4                   9                   2                   5                   1                   7                   1                   3                   5                   2                   10                  3                   2                   1                   
Vardas263           Pavarde263          4                   10                  5                   10                  9                   6                   6                   3                   2                   9                   8                   3                   6                   2                   3                   7                   4                   
Vardas264           Pavarde264          1                   1                   2                   6                   3                   4                   2                   9                   9                   8                   8                   10                  1                   6                   10                  6                   10                  
Vardas265           Pavarde265          6                   8                   7                   6                   4                   10                  7                   9                   5                   2                   3                   7                   9                   6                   6                   10                  8                   
Vardas266           Pavarde266          8                   7                   1                   1                   10                  3                   7                   6                   2                   1                   1                   5                   5                   1                   5                   9                   7                   
Vardas267           Pavarde267          6                   4                   2                   9                   6                   1                   2                   10                  6                   6                   10                  2                   6                   10                  6                   10                  6                   
Vardas268           Pavarde268          9                   5                   10                  8                   4                   7                   7                   4                   6                   7                   2                   10                  6                   10                  1                   10                  5                   
Vardas269           Pavarde269          7                   8                   9                   5                   7                   4                   9                   2                   4                   10                  1                   1                   7                   1                   9                   9                   1                   
Vardas270           Pavarde270          1                   9                   9                   8                   5                   3                   1                   7                   9                   6                   6                   3                   4                   10                  10                  9                   1                   
Vardas271           Pavarde271          1                   6                   3                   10                  7                   3                   3                   8                   5                   1                   8                   6                   2                   10                  7                   9                   1                   
Vardas272           Pavarde272          1                   8                   7                   2                   5                   7                   4                   9                   3                   7                   10                  3                   3                   9                   8                   2                   4                   
Vardas273           Pavarde273          10                  8                   2                   10                  8                   2                   6                   10                  5                   10                  1                   7                   8                   2                   5                   8                   2                   
Vardas274           Pavarde274          6                   6                   8                   5                   2                   5                   7                   8                   10                  7                   10                  2                   8                   3                   8                   1                   1                   
Vardas275           Pavarde275          2                   5                   9                   8                   2                   9                   4                   10                  10                  3                   4                   7                   9                   10                  7                   10                  4                   
Vardas276           Pavarde276          6                   10                  5                   6                   4                   5                   2                   4                   2                   3                   2                   2                   3                   3                   9                   6                   4                   
Vardas277           Pavarde277          5                   9                   7                   7                   9                   2                   8                   7                   10                  1                   1                   8                   9                   9                   8                   1                   9                   
Vardas278           Pavarde278          6                   3                   4                   1                   3                   7                   5                   7                   5                   5                   8                   4                   3                   7                   4                   9                   1                   
Vardas279           Pavarde279          7                   7                   4                   1                   8                   8                   9                   6                   5                   9                   1                   4                   8                   2                   2                   7                   9                   
Vardas280           Pavarde280          3                   7                   2                   9                   9                   4                   6                   6                   3                   3                   1                   9                   5                   1                   5                   10                  1                   
Vardas281           Pavarde281          8                   3                   4                   1                   3                   2                   7                   8                   7                   10                  7                   9                   8                   2                   1                   3                   8                   
Vardas282           Pavarde282          9                   4                   4                   3                   6                   7                   2                   8                   5                   2                   2                   8                   3                   2                   7                   7                   3                   
Vardas283           Pavarde283          6                   2                   5                   10                  2                   2                   9                   4                   8                   4                   9                   9                   1                   1                   8                   7                   6                   
Vardas284           Pavarde284          2                   10                  6                   4                   5                   7                   6                   1                   7                   7                   4                   1                   2                   2                   2                   10                  1                   
Vardas285           Pavarde285          6                   8                   8                   4                   3                   10                  9                   1                   8                   7                   3                   10                  9                   6                   10                  3                   1                   
Vardas286           Pavarde286          5                   3                   8                   10                  8                   8                   6                   7                   5                   1                   3                   6                   10                  8                   4                   7                   7                   
Vardas287           Pavarde287          4                   4                   3                   2                   8                   2                   3                   5                   6                   2                   4                   10                  8                   10                  10                  10                  1                   
Vardas288           Pavarde288          6                   6                   4                   5                   6                   3                   9                   2                   8                   8                   4                   5                   1                   9                   1                   2                   6                   
Vardas289           Pavarde289          7                   6                   6                   9                   5                   5                   7                   1                   9                   4                   6                   3                   8                   5                   3                   7                   8                   
Vardas290           Pavarde290          6                   6                   8                   10                  8                   7                   1                   5                   8                   2                   7                   7                   4                   4                   4                   6                   9                   
Vardas291           Pavarde291          1                   6                   6                   4                   5                   8                   10                  5                   4                   4                   1                   10                  6                   5                   5                   5                   6                   
Vardas292           Pavarde292          9                   4                   1                   6                   6                   10                  5                   9                   10                  4                   4                   7                   1                   3                   7                   7                   9                   
Vardas293           Pavarde293          5                   7                   5                   8                   5                   4                   5                   10                  2                   7                   9                   10                  3                   8                   3                   3                   1                   
Vardas294           Pavarde294          1                   2                   3                   7                   2                   4                   9                   4                   5                   8                   10                  10                  2                   6                   5                   10                  8                   
Vardas295           Pavarde295          8                   9                   7                   2                   4                   2                   4                   3                   7                   9                   6                   10                  10                  7                   10                  5                   1                   
Vardas296           Pavarde296          6                   3                   5                   9                   2                   7                   5                   1                   4                   5                   5                   4                   10                  8                   2                   6                   7                   
Vardas297           Pavarde297          6                   8                   2                   7                   5                   9                   4                   6                   8                   6                   9                   10                  5                   8                   5                   4                   2                   
Vardas298           Pavarde298          4                   6                   5                   1                   7                   2                   10                  1                   10                  2                   3                   9                   10                  8                   10                  3                   8                   
Vardas299           Pavarde299          8                   6                   7                   4                   7                   10                  3                   9                   9                   2                   9                   9                   2                   3                   2                   6                   10                  
Vardas300           Pavarde300          4                   7                   8                   10                  8                   7                   1                   10                  10                  9                   10                  2                   10                  7                   1                   10                  9                   
Vardas301           Pavarde301          5                   6                   2                   4                   1                   5                   7                   10                  4                   5                   6                   1                   1                   5                   4                   9                   4                   
Vardas302           Pavarde302          9                   9                   6                   5                   6                   4                   8                   10                  4                   6                   7                   8                   4                   8                   1                   6                   6                   
Vardas303           Pavarde303          7                   5                   2                   9                   7                   1                   4                   5                   2                   4                   10                  1                   8                   1                   1                   2                   6                   
Vardas304           Pavarde304          2                   7                   3                   4                   5                   7                   2                   2                   6                   5                   2                   9                   2                   8                   9                   5                   7                   
Vardas305           Pavarde305          9                   5                   5                   9                   6                   2                   9                   3                   10                  9                   3                   10                  9                   3                   4                   5                   8                   
Vardas306           Pavarde306          7                   6                   7                   6                   5                   1                   5                   1                   5                   5                   4                   5                   4                   8                   3                   4                   10                  
Vardas307           Pavarde307          4                   6                   5                   8                   1                   3                   7                   4                   1                   10                  10                  5                   4                   9                   8                   3                   2                   
Vardas308           Pavarde308          3                   9                   8                   3                   5                   7                   3                   4                   5                   10                  8                   3                   10                  7                   2                   3                   8                   
Vardas309           Pavarde309          5                   8                   4                   1                   4                   10                  7                   4                   2                   8                   3                   7                   9                   4                   10                  9                   7                   
Vardas310           Pavarde310          6                   7                   1                   9                   5                   2                   10                  4                   9                   7                   8                   5                   2                   2                   2                   3                   10                  
Vardas311           Pavarde311          2                   7                   5                   9                   8                   9                   6                   10                  9                   2                   2                   2                   8                   9                   9                   7                   3                   
Vardas312           Pavarde312          2                   7                   3                   9                   2                   1                   10                  8                   1                   7                   2                   8                   1                   7                   2                   4                   10                  
Vardas313           Pavarde313          10                  10                  5                   9                   5                   9                   4                   4                   10                  10                  4                   4                   5                   5                   2                   1                   6                   
Vardas314           Pavarde314          8                   3                   5                   9                   9                   5                   2                   8                   5                   8                   8                   5                   5                   7                   7                   1                   6                   
Vardas315           Pavarde315          10                  5                   7                   4                   7                   3                   3                   3                   4                   5                   9                   10                  9                   8                   1                   2                   3                   
Vardas316           Pavarde316          3                   3                   7                   7                   1                   3                   6                   2                   5                   3                   2                   3                   9                   6                   7                   3                   2                   
Vardas317           Pavarde317          7                   3                   7                   4                   4                   7                   2                   5                   1                   10                  8                   2                   3                   3                   5                   10                  9                   
Vardas318           Pavarde318          9                   9                   8                   8                   2                   6                   10                  7                   1                   9                   1                   6                   10                  8                   1                   8                   4                   
Vardas319           Pavarde319          6                   5                   1                   1                   6                   2                   4                   10                  2                   9                   3                   9                   7                   7                   7                   4                   7                   
Vardas320           Pavarde320          2                   7                   3                   4                   10                  8                   1                   3                   1                   1                   1                   5                   10                  1                   3                   10                  8                   
Vardas321           Pavarde321          4                   6                   5                   10                  8                   6                   1                   1                   1                   7                   4                   7                   1                   1                   10                  4                   2                   
Vardas322           Pavarde322          2                   8                   1                   2                   4                   6                   4                   4                   2                   4                   2                   1                   2                   1                   8                   10                  5                   
Vardas323           Pavarde323          6                   8                   7                   8                   9                   10                  2                   8                   6                   6                   4                   3                   1                   4                   5                   6                   2                   
Vardas324           Pavarde324          6                   6                   5                   4                   6                   1                   7                   5                   2                   10                  6                   10                  3                   10                  9                   10                  10                  
Vardas325           Pavarde325          1                   3                   3                   4                   6                   4                   5                   3                   7                   2                   6                   8                   9                   2                   6                   9                   3                   
Vardas326           Pavarde326          2                   2                   1                   3                   3                   10                  4                   10                  10                  9                   2                   6                   10                  2                   4                   4                   7                   
Vardas327           Pavarde327          7                   8                   7                   7                   3                   5                   9                   4                   2                   1                   8                   9                   2                   7                   5                   8                   4                   
Vardas328           Pavarde328          4                   3                   7                   5                   5                   7                   1                   3                   10                  10                  5                   2                   6                   10                  9                   7                   5                   
Vardas329           Pavarde329          3                   8                   9                   9                   3                   10                  4                   7                   5                   7                   1                   7                   1                   10                  2                   6                   2                   
Vardas330           Pavarde330          7                   2                   10                  5                   3                   6                   2                   1                   10                  7                   1                   7                   2                   10                  1                   3                   4                   
Vardas331           Pavarde331          8                   3                   5                   7                   3                   8                   4                   9                   5                   5                   9                   2                   7                   8                   4                   1                   9                   
Vardas332           Pavarde332          1                   3                   2                   4                   2                   2                   1                   4                   9                   10                  7                   4                   4                   4                   2                   10                  8                   
Vardas333           Pavarde333          4                   2                   6                   10                  10                  6                   4                   7                   3                   8                   9                   5                   7                   10                  10                  2                   5                   
Vardas334           Pavarde334          4                   1                   7                   9                   3                   3                   5                   2                   8                   1                   6                   4                   4                   7                   5                   5                   3                   
Vardas335           Pavarde335          9                   10                  3                   7                   3                   5                   4                   2                   6                   6                   1                   4                   9                   5                   6                   10                  10                  
Vardas336           Pavarde336          6                   1                   2                   4                   7                   10                  7                   2                   9                   2                   10                  1                   9                   9                   4                   8                   1                   
Vardas337           Pavarde337          6                   9                   1                   1                   6                   6                   4                   5                   5                   9                   7                   2                   7                   7                   10                  10                  5                   
Vardas338           Pavarde338          6                   1                   8                   5                   9                   1                   2                   4                   9                   5                   9                   3                   2                   6                   10                  7                   4                   
Vardas339           Pavarde339          3                   9                   3                   7                   2                   7                   1                   10                  6                   3                   2                   10                  4                   4                   6                   6                   4                   
Vardas340           Pavarde340          2                   9                   1                   6                   10                  3                   8                   6                   1                   8                   4                   6                   4                   7                   9                   3                   8                   
Vardas341           Pavarde341          5                   4                   10                  5                   1                   7                   8                   2                   10                  2                   10                  1                   1                   1                   8                   5                   2                   
Vardas342           Pavarde342          10                  5                   10                  5                   3                   4                   9                   6                   3                   3                   7                   10                  4                   5                   8                   3                   2                   
Vardas343           Pavarde343          2                   2                   3                   3                   3                   1                   5                   7                   10                  7                   5                   3                   8                   9                   3                   8                   5                   
Vardas344           Pavarde344          5                   7                   8                   8                   2                   3                   1                   5                   8                   7                   3                   7                   7                   2                   10                  8                   3                   
Vardas345           Pavarde345          7                   9                   7                   2                   8                   1                   3                   1                   2                   6                   9                   1                   6                   2                   4                   5                   8                   
Vardas346           Pavarde346          3                   7                   9                   1                   6                   7                   8                   2                   2                   5                   4                   5                   4                   4                   10                  1                   4                   
Vardas347           Pavarde347          10                  8                   6                   1                   1                   6                   3                   1                   4                   3                   1                   8                   5                   4                   3                   5                   8                   
Vardas348           Pavarde348          7                   7                   3                   7                   7                   9                   7                   5                   10                  5                   9                   5                   9                   3                   7                   3                   7                   
Vardas349           Pavarde349          5                   2                   10                  1                   7                   7                   4                   6                   5                   8                   4                   4                   4                   6                   4                   2                   6                   
Vardas350           Pavarde350          9                   3                   5                   2                   2                   4                   3                   5                   4                   2                   8                   10                  7                   7                   3                   6                   10                  
Vardas351           Pavarde351          4                   4                   4                   1                   8                   5                   1                   6                   9                   7                   6                   1                   1                   1                   6                   8                   2                   
Vardas352           Pavarde352          9                   6                   6                   8                   3                   9                   10                  3                   4                   2                   7                   9                   5                   1                   3                   6                   9                   
